product_id,old_sku,new_sku,name
7803,,TZ-PLAY-DIGI-7EF7,"Digimon Story Cyber Sleuth Hacker's Memory"
7802,,TZ-PLAY-DIGI-6AB8,"Digimon Story Cyber Sleuth"
7801,,TZ-PLAY-DEUS-6626,"Deus Ex Mankind Divided"
7794,,TZ-PLAY-DEST-C4E8,"Destiny: The Collection Edition"
7793,,TZ-PLAY-DEST-994D,"Destiny: The Taken King Legendary Edition"
7792,,TZ-PLAY-DEST-45E6,"Destiny 2"
7791,,TZ-PLAY-DEST-F555,"Destiny"
7790,,TZ-PLAY-DEAT-FC30,"Deathwing Enhanced Edition"
7789,,TZ-PLAY-DEAD-7B5D,"Dead or alive 6"
7782,,TZ-PLAY-DARK-FA32,"Darksiders 3"
7781,,TZ-PLAY-CALL-610D,"Call of Duty WWII"
7780,,TZ-PLAY-CALL-C461,"Call of Duty Infinite Warfare"
7779,,TZ-PLAY-CALL-E237,"Call of Duty: Black Ops III"
7778,,TZ-PLAY-CODE-D09B,"Code Vein"
7772,,TZ-PLAY-BROT-CE90,"Brothers"
7771,,TZ-PLAY-BLOO-2408,"Blood & Truth"
7770,,TZ-PLAY-BLAD-457F,"Bladestorm: Nightmare"
7769,,TZ-PLAY-BATT-0BF5,"Battlefield 4"
7768,,TZ-PLAY-BATT-FCA8,"Battlefield 1"
7762,,TZ-PLAY-BATM-F539,"Batman: Arkham VR"
7761,,TZ-PLAY-ATEL-B4DE,"Atelier Sophie: The Alchemist Of The Mysterious Book"
7760,,TZ-PLAY-ASSA-CBC9,"Assassin's Creed: The Ezio Collection"
7759,,TZ-PLAY-ASSA-6C9A,"Assassin's Creed Valhalla"
7758,,TZ-PLAY-ASSA-3B4E,"Assassin's Creed Unity"
7752,,TZ-PLAY-ASSA-8EA0,"Assassin's Creed Syndicate"
7751,,TZ-PLAY-ASSA-ACF1,"Assassin's Creed Odysessy"
7750,,TZ-PLAY-ASSA-4E94,"Assassin's Creed Origins"
7749,,TZ-PLAY-ASSA-9D54,"Assassin's Creed IV Black Flag"
7748,,TZ-PLAY-ANTH-7A79,"Anthem"
